candidateid,raceid,precinctsreporting,national,officeid,ballotorder,id,votepct,fipscode,reportingunitname,seatnum,winner,lastupdated,polid,initialization_data,racetype,incumbent,test,party,officename,electiondate,racetypeid,uncontested,description,precinctsreportingpct,polnum,key,reportingunitid,is_ballot_measure,precinctstotal,last,statepostal,level,statename,votecount,seatname,runoff,unique_id,first
22345,16957,0,True,P,6,16957-polid-45650-16071,0.0,19141,O'Brien,0,False,,45650,False,,False,True,GOP,President,20160201,S,False,,0.0,18865,16957O'Brien1607122345,16071,,9,Gilmore,IA,county,,0,,False,polid-45650,Jim
22321,16957,0,True,P,1,16957-polid-1239-16039,0.0,19077,Guthrie,0,False,,1239,False,,False,True,GOP,President,20160201,S,False,,0.0,18859,16957Guthrie1603922321,16039,,8,Bush,IA,county,,0,,False,polid-1239,Jeb
22322,16957,0,True,P,2,16957-polid-64509-16039,0.0,19077,Guthrie,0,False,,64509,False,,False,True,GOP,President,20160201,S,False,,0.0,18860,16957Guthrie1603922322,16039,,8,Carson,IA,county,,0,,False,polid-64509,Ben
22323,16957,0,True,P,3,16957-polid-60051-16039,0.0,19077,Guthrie,0,False,,60051,False,,False,True,GOP,President,20160201,S,False,,0.0,18861,16957Guthrie1603922323,16039,,8,Christie,IA,county,,0,,False,polid-60051,Chris
22311,16672,0,True,P,3,16672-polid-1445-16081,0.0,19161,Sac,0,False,,1445,False,,False,True,Dem,President,20160201,E,False,,0.0,18856,16672Sac1608122311,16081,,9,Sanders,IA,county,,0,,False,polid-1445,Bernie
22310,16672,0,True,P,1,16672-polid-1746-16081,0.0,19161,Sac,0,False,,1746,False,,False,True,Dem,President,20160201,E,False,,0.0,18855,16672Sac1608122310,16081,,9,Clinton,IA,county,,0,,False,polid-1746,Hillary
22326,16957,0,True,P,5,16957-polid-60339-16039,0.0,19077,Guthrie,0,False,,60339,False,,False,True,GOP,President,20160201,S,False,,0.0,18864,16957Guthrie1603922326,16039,,8,Fiorina,IA,county,,0,,False,polid-60339,Carly
22312,16672,0,True,P,2,16672-polid-22603-16081,0.0,19161,Sac,0,False,,22603,False,,False,True,Dem,President,20160201,E,False,,0.0,18857,16672Sac1608122312,16081,,9,O'Malley,IA,county,,0,,False,polid-22603,Martin
22329,16957,0,True,P,7,16957-polid-1187-16039,0.0,19077,Guthrie,0,False,,1187,False,,False,True,GOP,President,20160201,S,False,,0.0,18867,16957Guthrie1603922329,16039,,8,Huckabee,IA,county,,0,,False,polid-1187,Mike
22329,16957,0,True,P,7,16957-polid-1187-16054,0.0,19107,Keokuk,0,False,,1187,False,,False,True,GOP,President,20160201,S,False,,0.0,18867,16957Keokuk1605422329,16054,,15,Huckabee,IA,county,,0,,False,polid-1187,Mike
22311,16672,0,True,P,3,16672-polid-1445-16051,0.0,19101,Jefferson,0,False,,1445,False,,False,True,Dem,President,20160201,E,False,,0.0,18856,16672Jefferson1605122311,16051,,12,Sanders,IA,county,,0,,False,polid-1445,Bernie
22310,16672,0,True,P,1,16672-polid-1746-16051,0.0,19101,Jefferson,0,False,,1746,False,,False,True,Dem,President,20160201,E,False,,0.0,18855,16672Jefferson1605122310,16051,,12,Clinton,IA,county,,0,,False,polid-1746,Hillary
22321,16957,0,True,P,1,16957-polid-1239-16054,0.0,19107,Keokuk,0,False,,1239,False,,False,True,GOP,President,20160201,S,False,,0.0,18859,16957Keokuk1605422321,16054,,15,Bush,IA,county,,0,,False,polid-1239,Jeb
